overall,age
73,25
73,27
73,27
73,26
73,25
73,25
73,25
73,25
73,25
73,25
73,25
73,25
73,26
73,26
73,26
73,28
73,26
73,27
73,26
73,26
73,26
73,26
73,25
73,26
73,26
73,26
73,26
73,26
73,27
73,25
73,25
73,26
73,25
73,27
73,28
73,26
73,26
73,26
73,25
73,26
73,27
73,27
73,27
73,27
73,29
73,30
73,27
73,28
73,29
73,27
73,27
73,28
73,28
73,27
73,27
73,28
73,27
73,27
73,26
73,26
73,29
73,27
73,28
73,28
73,26
73,27
73,27
73,26
73,26
73,28
73,26
73,26
73,26
73,26
73,27
73,26
73,27
73,28
73,29
73,28
73,28
73,27
73,25
73,26
73,26
73,27
73,25
73,26
73,26
73,28
73,28
73,26
73,27
73,27
73,25
73,27
73,36
73,40
73,38
73,40
73,37
73,35
73,35
73,38
73,36
73,35
73,34
73,35
73,35
73,37
73,35
73,33
73,36
73,35
73,38
73,36
73,34
73,35
73,35
73,35
73,36
73,34
73,33
73,30
73,33
73,31
73,32
73,33
73,33
73,33
73,36
73,36
73,32
73,32
73,33
73,32
73,32
73,37
73,32
73,28
73,37
73,32
73,31
73,31
73,32
73,31
73,35
73,36
73,31
73,31
73,31
73,31
73,30
73,32
73,30
73,34
73,35
73,33
73,32
73,32
73,32
73,33
73,30
73,34
73,32
73,30
73,30
73,32
73,35
73,30
73,31
73,29
73,30
73,29
73,30
73,33
73,34
73,32
73,30
73,31
73,30
73,29
73,31
73,33
73,34
73,30
73,30
73,32
73,33
73,30
73,34
73,31
73,31
73,29
73,31
73,30
73,29
73,30
73,30
73,30
73,29
73,30
73,31
73,30
73,32
73,34
73,29
73,31
73,33
73,28
73,29
73,29
73,35
73,29
73,30
73,28
73,33
73,27
73,31
73,29
73,28
73,31
73,34
73,31
73,29
73,29
73,30
73,30
73,33
73,27
73,29
73,31
73,32
73,31
73,32
73,30
73,29
73,33
73,28
73,28
73,31
73,33
73,30
73,32
73,32
73,31
73,32
73,30
73,35
73,32
73,33
73,31
73,28
73,31
73,27
73,32
73,28
73,29
73,30
73,28
73,29
73,29
73,33
73,28
73,27
73,29
73,31
73,33
73,31
73,31
73,28
73,38
73,27
73,28
73,28
73,30
73,28
73,28
73,28
73,32
73,30
73,28
73,28
73,33
73,28
73,31
73,28
73,29
73,29
73,28
73,31
73,30
73,26
73,31
73,30
73,29
73,30
73,29
73,33
73,32
73,29
73,29
73,28
73,31
73,29
73,26
73,31
73,28
73,27
73,28
73,31
73,29
73,28
73,28
73,29
73,32
73,31
73,26
73,33
73,26
73,28
73,28
73,32
73,29
73,30
73,27
73,28
73,28
73,30
73,29
73,27
73,29
73,32
73,29
73,29
73,28
73,28
73,28
73,27
73,27
73,30
73,29
73,28
73,31
73,28
73,29
73,27
73,31
73,32
73,28
73,30
73,30
73,27
73,29
73,30
73,29
73,30
73,29
73,34
73,27
73,27
73,29
73,31
73,28
73,32
73,28
73,28
73,29
73,28
73,31
73,29
73,28
73,29
73,30
73,29
73,27
73,26
73,30
73,32
73,28
73,29
73,29
73,27
73,29
73,26
73,27
73,28
73,27
73,27
73,31
73,27
73,27
73,35
73,31
73,35
73,27
73,31
73,35
73,35
73,35
73,27
73,27
73,35
73,31
73,31
73,35
73,35
73,27
73,30
73,29
73,28
73,33
73,30
73,27
73,29
73,29
73,31
73,27
73,26
73,34
73,31
73,30
72,18
72,18
72,17
72,21
72,21
72,20
72,19
72,20
72,19
72,19
72,19
72,21
72,21
72,20
72,19
72,20
72,19
72,21
72,22
72,21
72,22
72,21
72,20
72,22
72,21
72,22
72,21
72,21
72,21
72,19
